FIPS,state,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Census2019_12PlusPop,pct_college,county,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,cases_avg,cases_avg_per_100k,deaths_avg,deaths_avg_per_100k
01001,AL,13216.0,30.8,4799.0,53.8,13470.0,24.1,47574.0,26.57157325744629,Autauga,55221,26745,28476,2.6,75.8,18.5,0.4,1.0,0.0,40725,51281.0,2391.0,24974,1080,12.9,18.6,33.2,17.0,24.2,8.6,17.1,87.5,8.8,0.1,0.5,1.3,1.8,26.5,23986,73.6,20.9,5.5,0.0,7.6,0.715,0.27,27639.0,19764.0,7450.0,3.71,6.65,0.0,0.0
01003,AL,63308.0,36.0,29994.0,64.0,64146.0,28.7,192649.0,31.862459182739258,Baldwin,195121,95314,99807,4.5,83.1,9.5,0.6,0.7,0.0,147695,50254.0,1263.0,27317,711,13.4,19.2,33.1,17.7,27.1,10.8,11.2,84.7,8.8,0.1,1.0,1.4,3.9,26.4,85953,81.5,12.3,5.8,0.4,7.5,0.762,0.223,108945.0,83055.0,24344.0,13.43,6.02,0.14,0.06
01005,AL,5647.0,28.8,2791.0,57.4,5673.0,23.0,21404.0,11.578713417053223,Barbour,26932,14497,12435,4.6,46.2,46.7,0.2,0.4,0.0,20714,32964.0,2973.0,16824,798,26.7,45.3,26.8,16.1,23.1,10.8,23.1,83.8,10.9,0.4,1.8,1.5,1.6,24.1,8597,71.8,20.8,7.3,0.1,17.6,0.536,0.456,10457.0,5605.0,4772.0,0.17,0.68,0.0,0.0
01007,AL,4192.0,23.5,1841.0,49.3,4232.0,18.9,19480.0,10.378525733947754,Bibb,22604,12073,10531,2.2,74.5,21.4,0.4,0.1,0.0,17495,38678.0,3995.0,18431,1618,16.8,27.9,21.5,17.9,17.8,19.0,23.7,83.2,13.5,0.5,0.6,1.5,0.7,28.8,8294,76.8,16.1,6.7,0.4,8.3,0.784,0.207,9573.0,7508.0,1982.0,1.71,7.66,0.0,0.0
01009,AL,10333.0,23.2,4620.0,42.7,10438.0,18.1,49234.0,13.093413352966309,Blount,57710,28512,29198,8.6,87.9,1.5,0.3,0.1,0.0,42345,45813.0,3141.0,20532,708,16.7,27.2,28.5,14.1,23.9,13.5,19.9,84.9,11.2,0.4,0.9,0.4,2.3,34.9,22189,82.0,13.5,4.2,0.4,7.7,0.8959999999999999,0.096,27459.0,24595.0,2627.0,2.86,4.94,0.0,0.0
01011,AL,3217.0,40.2,1158.0,67.7,3239.0,32.1,8677.0,12.05463981628418,Bullock,10678,5660,5018,4.4,22.2,70.7,1.2,0.2,0.0,8057,31938.0,5884.0,17580,2055,24.6,38.4,18.8,15.0,19.7,20.1,26.4,74.9,14.9,0.7,5.0,1.7,2.8,27.5,3865,79.5,15.1,5.4,0.0,18.0,0.248,0.747,4603.0,1143.0,3439.0,0.14,1.41,0.0,0.0
01013,AL,4773.0,31.5,2165.0,53.5,4800.0,24.7,16675.0,16.137203216552734,Butler,20354,9502,10852,1.2,53.3,43.8,0.1,0.4,0.0,15581,32229.0,1793.0,18390,714,25.4,39.2,27.5,16.6,21.9,10.3,23.7,84.5,12.4,0.0,0.8,0.6,1.7,24.6,7813,77.4,16.2,6.2,0.2,10.9,0.5760000000000001,0.418,9466.0,5448.0,3953.0,1.29,6.61,0.0,0.0
01015,AL,32235.0,36.2,13605.0,66.2,32560.0,28.7,97757.0,18.481063842773438,Calhoun,116648,56274,60374,3.5,73.0,20.3,0.2,0.9,0.0,88612,41703.0,925.0,21374,489,20.5,31.6,27.3,17.7,24.2,10.5,20.4,85.3,9.4,0.2,1.2,1.2,2.7,24.1,47401,74.1,20.8,5.0,0.1,12.3,0.6890000000000001,0.298,50743.0,34964.0,15118.0,3.86,3.4,0.29,0.25
01017,AL,6537.0,24.8,2940.0,43.8,6599.0,19.8,28624.0,13.296061515808105,Chambers,34079,16258,17821,0.4,57.3,40.3,0.2,0.8,0.0,26462,34177.0,2949.0,21071,1366,21.6,37.2,23.3,14.5,26.3,11.5,24.4,85.1,11.9,0.2,0.3,0.4,2.1,25.1,13689,85.1,12.1,2.8,0.0,8.9,0.573,0.41600000000000004,15269.0,8748.0,6356.0,1.86,5.58,0.14,0.43
01019,AL,5632.0,26.5,2829.0,45.9,5671.0,21.6,23072.0,12.7529935836792,Cherokee,26008,12975,13033,1.5,91.7,4.8,0.6,0.3,0.0,20600,36296.0,1710.0,21811,1556,19.2,30.1,29.3,16.0,19.5,13.7,21.5,83.9,12.1,0.2,0.6,0.7,2.5,27.4,10155,73.1,18.5,7.9,0.5,7.9,0.86,0.132,12275.0,10562.0,1619.0,0.14,0.55,0.0,0.0
